source_key,source_label,size_uas,size_unc_independent_uas,size_unc_correlated_uas,size_unc_adopted_uas,adopted_uncertainty_model,log_mass,log_mass_unc,distance_mpc,distance_unc_mpc,mass_frac_percent
NGC4258,NGC 4258,0.5390495312288512,0.007961873409078616,0.0004169021940568992,0.0004169021940568992,correlated,7.599883072073688,0.004364768662344239,7.576,0.082,1.0050251256281406
NGC5765b,NGC 5765b,0.04161061228845543,0.0034392097837191568,0.0008879881208528298,0.0008879881208528298,correlated,7.658011396657113,0.029589294371430343,112.2,5.25,6.813186813186813
CGCG074-064,CGCG,0.02834632919617282,0.00346689156739834,1.6714268224845763e-05,1.6714268224845763e-05,correlated,7.383815365980431,0.03768671123953838,87.6,7.550000000000001,8.677685950413224
NGC6264,NGC 6264,0.024001657184754995,0.004749786227448744,0.0001898075386460412,0.0001898075386460412,correlated,7.489958479424835,0.05903031792859732,132.1,19.0,13.592233009708737
UGC3789,UGC 3789,0.023111936031439434,0.003058452473763697,0.00048359424237193335,0.00048359424237193335,correlated,7.064457989226918,0.04492701536930191,51.5,4.25,10.344827586206897
IC2560,IC 2560,0.011584890071376424,0.005132337000688158,0.0032031954114404857,0.0032031954114404857,correlated,6.544068044350276,0.06204206884332168,31,13.0,14.285714285714285
NGC6323,NGC 6323,0.008816497693390143,0.0037422136122078763,0.0006576622370181241,0.0006576622370181241,correlated,6.973127853599698,0.14553485297821736,109.4,28.5,33.51063829787234
NGC1194,NGC 1194,0.12691380627647073,0.00934877660712561,0.0026488652521442823,0.00934877660712561,uncorrelated,7.812913356642856,0.026694679511166827,52.55209742895805,2.133373373300056,6.146677110466632
NGC1068,NGC 1068,0.12780222322324244,0.027208849204027954,5.6080722750147354e-05,0.027208849204027954,uncorrelated,7.2405492482825995,0.06547463889528017,13.97,2.1,15.076092748944026
NGC3393,NGC 3393,0.06268453825523843,0.005413528969878951,0.0022334525071974454,0.005413528969878951,uncorrelated,7.491361693834273,0.03310428693955926,50.744248985115014,2.059983044050677,7.622543762122663
NGC4388,NGC 4388,0.04536399059528456,0.0071391584233497524,0.00011555542857939489,0.0071391584233497524,uncorrelated,6.924279286061882,0.04887866880933578,19.0,2.09,11.25472941657696
Circinus,Circinus,0.04153222494976446,0.013374680816703722,0.002873336110938865,0.013374680816703722,uncorrelated,6.230448921378274,0.11276868109117452,4.2,0.8,25.965948403713803
NGC2273,NGC 2273,0.030313444300695495,0.0023753861984343416,0.0008011903804419932,0.0023753861984343416,uncorrelated,6.8750612633917,0.0291088476571087,25.38700947225981,1.03059578371826,6.702559868949315
UGC6093,UGC 6093,0.018419479380587987,0.001275911158742966,0.0002860938246318452,0.001275911158742966,uncorrelated,7.41161970596323,0.024375878009673634,143.7235453315291,5.8345146954612614,5.612753333371588
ESO558-G009,ESO558,0.01696377415437281,0.0013943541809182032,0.0005237774243698088,0.0013943541809182032,uncorrelated,7.230448921378274,0.031039734985995143,102.82814614343707,4.174349640464292,7.147163106923816
NGC2960,NGC 2960,0.016688908614816866,0.001198105585986148,0.00031066717889842205,0.001198105585986148,uncorrelated,7.064457989226918,0.025714831481700673,71.32070365358592,2.895292435192933,5.921058763861796
J0437,J0347,0.004574037032264223,0.000541159396532983,0.000322620782598215,0.000541159396532983,uncorrelated,6.4623979978989565,0.048262472255328245,65.0554803788904,2.6409531953541427,11.112844916615755
NGC4945,NGC 4945,0.03882503699596423,NA,NA,NA,not_propagated,6.146128035678238,NA,3.7,NA,NA
NGC3079,NGC 3079,0.011862315184563798,NA,NA,NA,not_propagated,6.301029995663981,NA,17.3,1.5,NA
Mrk1029,Mrk1029,NA,NA,NA,NA,not_available,NA,NA,123.54397834912042,5.01531711836754,NA
NGC1320,NGC 1320,NA,NA,NA,NA,not_available,NA,NA,38.28416779431664,1.55416107419418,NA
