Source,flux_status,nu0_GHz,S_nu0_mJy,sigma_S_nu0_mJy,alpha_fid,S_230_mJy,sigma_S_230_mJy,alpha_model_range,S_230_alpha_minus_1p0_mJy,S_230_alpha_minus_0p4_mJy,S_230_model_min_mJy,S_230_model_max_mJy,percent_change_to_230,model_range_percent_width
Circinus,detection,258.83,14.27,0.024086746044338518,-0.7,15.499750827004508,0.026162478060307186,"[-1.0, -0.4]",16.05871347826087,14.960244232792974,14.960244232792974,16.05871347826087,8.617735297859205,7.087012286378718
ESO558-G009,upper_limit,316.94,0.82,NA,-0.7,1.0263330272971334,NA,"[-1.0, -0.4]",1.12996,0.9322095321258261,0.9322095321258261,1.12996,25.16256430452847,19.267670689206348
IC2560,detection,321.98,1.56,0.2756183745583039,-0.7,1.9742190595784141,0.3488019539891191,"[-1.0, -0.4]",2.1838643478260873,1.7846991728595498,1.7846991728595498,2.1838643478260873,26.552503819129107,20.2188897442707
MRK1029,upper_limit,225.54,2.85,NA,-0.7,2.8112008668238873,NA,"[-1.0, -0.4]",2.7947347826086957,2.8277639663018754,2.7947347826086957,2.8277639663018754,-1.3613730938986959,1.1749136848586823
NGC1068,detection,350.78,6.74,0.044855882176774775,-0.7,9.056800220326682,0.06027459400319903,"[-1.0, -0.4]",10.279379130434783,7.97962884626477,7.97962884626477,10.279379130434783,34.37389050929795,25.392525265253788
NGC1194,detection,228.91,1.68,0.06138107416879795,-0.7,1.674422812619724,0.06117730407817771,"[-1.0, -0.4]",1.672038260869565,1.6768107650618302,1.672038260869565,1.6768107650618302,-0.33197543930213724,0.2850238396357269
NGC1320,detection,234.47,0.76,0.05540974044911053,-0.7,0.7703094140695086,0.056161374604076164,"[-1.0, -0.4]",0.7747704347826087,0.7658740792949903,0.7658740792949903,0.7747704347826087,1.3565018512511293,1.154906758911244
NGC2273,upper_limit,225.53,8.29,NA,-0.7,8.176888377947352,NA,"[-1.0, -0.4]",8.128885652173912,8.225174569595485,8.128885652173912,8.225174569595485,-1.3644345241573894,1.1775740718346985
NGC2960,upper_limit,225.53,5.64,NA,-0.7,5.563045892837523,NA,"[-1.0, -0.4]",5.530387826086956,5.595896812125275,5.530387826086956,5.595896812125275,-1.3644345241573912,1.1775740718346828
NGC3079,detection,225.53,34.7,2.505957969235214,-0.7,34.22654122011738,2.471765813542095,"[-1.0, -0.4]",34.02561304347826,34.428655918572176,34.02561304347826,34.428655918572176,-1.3644345241574054,1.177574071834695
NGC3393,detection,229.35,0.35,0.08433734939759036,-0.7,0.34930731482191385,0.08417043730648527,"[-1.0, -0.4]",0.3490108695652173,0.34960401187532475,0.3490108695652173,0.34960401187532475,-0.19791005088175076,0.1698052932014408
NGC4258,detection,225.51,12.41,2.285451197053407,-0.7,12.239913813400241,2.2541277741068586,"[-1.0, -0.4]",12.167735217391305,12.312520570412746,12.167735217391305,12.312520570412746,-1.3705575068473743,1.182895200315295
NGC4388,detection,348.15,2.53,0.14483627204030225,-0.7,3.3817968527055853,0.19359954503695817,"[-1.0, -0.4]",3.829649999999999,2.9863172751999287,2.9863172751999287,3.829649999999999,33.66785979073461,24.937415271569826
NGC4945,detection,349.4,15.84,0.25944246077243094,-0.7,21.226174121633214,0.34766230094069533,"[-1.0, -0.4]",24.063026086956523,18.72376592261248,18.72376592261248,24.063026086956523,34.00362450526019,25.15413344745154
NGC5765B,detection,225.75,0.39,0.07459831675592962,-0.7,0.38494133940046127,0.0736307076129421,"[-1.0, -0.4]",0.3827934782608696,0.3871012522278087,0.3827934782608696,0.3871012522278087,-1.2970924614201909,1.119072836824534
NGC6264,upper_limit,225.49,2.62,NA,-0.7,2.5839309669058155,NA,"[-1.0, -0.4]",2.568625217391305,2.5993279192811465,2.568625217391305,2.5993279192811465,-1.376680652449795,1.1882168015737358
NGC6323,upper_limit,225.49,6.24,NA,-0.7,6.154095127287134,NA,"[-1.0, -0.4]",6.117641739130436,6.1907657314176925,6.117641739130436,6.1907657314176925,-1.3766806524497854,1.188216801573741
UGC3789,upper_limit,225.53,6.42,NA,-0.7,6.3324033035490945,NA,"[-1.0, -0.4]",6.295228695652174,6.369797435078771,6.295228695652174,6.369797435078771,-1.364434524157405,1.1775740718346897
UGC6093,upper_limit,225.52,6.04,NA,-0.7,5.957403241893575,NA,"[-1.0, -0.4]",5.922351304347827,5.992662637298975,5.922351304347827,5.992662637298975,-1.3674959951394918,1.1802345769832285
