target        freq1    freq2    [sep %]    beam1     beam2     [sep %]    flux1      flux2      [sep %]         year1           year2           [sep yrs]
Circinus      86       93       [<1]       1.38      2.64      [<1]       22.8       42.2       [<1]            2016/07/02      2016/01/14      [0.465]
Circinus      86       108      [<1]       1.38      2.40      [<1]       22.8       40.5       [<1]            2016/07/02      2014/12/27      [1.514]
Circinus      86       108      [<1]       1.38      1.54      [<1]       22.8       39.8       [<1]            2016/07/02      2016/03/18      [0.290]
Circinus      86       178      [<1]       1.38      0.245     [139.7]    22.8       27.2       [<1]            2016/07/02      2021/06/14      [4.950]
Circinus      86       178      [<1]       1.38      0.0535    [185.1]    22.8       16.6       [31.4±1.9]      2016/07/02      2021/08/20      [5.133]
Circinus      86       182      [<1]       1.38      0.597     [79.3]     22.8       22.6       [<1]            2016/07/02      2018/12/01      [2.415]
Circinus      86       186      [<1]       1.38      0.210     [147.2]    22.8       19.0       [18.1±2.0]      2016/07/02      2023/12/05      [7.425]
Circinus      86       223      [<1]       1.38      5.83      [<1]       22.8       50.5       [<1]            2016/07/02      2019/05/05      [2.839]
Circinus      86       225      [<1]       1.38      5.92      [<1]       22.8       52.7       [<1]            2016/07/02      2019/01/18      [2.546]
Circinus      86       225      [<1]       1.38      5.98      [<1]       22.8       54.9       [<1]            2016/07/02      2019/01/18      [2.546]
Circinus      86       259      [<1]       1.38      0.133     [165.0]    22.8       13.9       [48.4±2.1]      2016/07/02      2019/08/15      [3.118]
Circinus      86       259      [<1]       1.38      0.0206    [194.1]    22.8       14.3       [45.9±1.8]      2016/07/02      2019/06/06      [2.927]
Circinus      86       265      [<1]       1.38      1.25      [10.3]     22.8       39.5       [<1]            2016/07/02      2015/12/31      [0.504]
Circinus      86       316      [<1]       1.38      0.235     [141.8]    22.8       22.3       [2.0±2.5]       2016/07/02      2019/10/06      [3.261]
Circinus      86       318      [<1]       1.38      0.261     [136.4]    22.8       31.4       [<1]            2016/07/02      2021/04/30      [4.827]
Circinus      86       321      [<1]       1.38      0.257     [137.3]    22.8       28.6       [<1]            2016/07/02      2017/05/06      [0.843]
Circinus      86       350      [<1]       1.38      0.0328    [190.7]    22.8       12.3       [59.8±1.8]      2016/07/02      2019/07/14      [3.031]
Circinus      86       350      [<1]       1.38      0.979     [34.1]     22.8       52.9       [<1]            2016/07/02      2015/12/31      [0.504]
Circinus      86       350      [<1]       1.38      3.81      [<1]       22.8       111.2      [<1]            2016/07/02      2016/03/22      [0.279]
Circinus      86       350      [<1]       1.38      0.159     [158.7]    22.8       27.0       [<1]            2016/07/02      2015/07/16      [0.964]
Circinus      86       350      [<1]       1.38      0.115     [169.3]    22.8       24.2       [<1]            2016/07/02      2021/05/17      [4.873]
Circinus      86       350      [<1]       1.38      0.479     [97.0]     22.8       35.3       [<1]            2016/07/02      2019/10/29      [3.324]
Circinus      86       350      [<1]       1.38      0.261     [136.4]    22.8       25.9       [<1]            2016/07/02      2016/11/24      [0.397]
Circinus      86       484      [<1]       1.38      0.177     [154.7]    22.8       33.3       [<1]            2016/07/02      2022/08/19      [6.130]
Circinus      86       484      [<1]       1.38      2.77      [<1]       22.8       211.6      [<1]            2016/07/02      2018/10/27      [2.319]
Circinus      86       485      [<1]       1.38      0.677     [68.5]     22.8       104.8      [<1]            2016/07/02      2017/03/18      [0.709]
Circinus      86       485      [<1]       1.38      0.0969    [173.8]    22.8       23.6       [<1]            2016/07/02      2021/06/28      [4.988]
Circinus      86       665      [<1]       1.38      0.0645    [182.2]    22.8       23.9       [<1]            2016/07/02      2021/07/01      [4.997]
Circinus      93       108      [<1]       2.64      2.40      [9.6]      42.2       40.5       [4.1±0.92]      2016/01/14      2014/12/27      [1.049]
Circinus      93       108      [<1]       2.64      1.54      [52.7]     42.2       39.8       [5.9±0.84]      2016/01/14      2016/03/18      [0.175]
Circinus      93       178      [<1]       2.64      0.245     [166.0]    42.2       27.2       [43.4±0.64]     2016/01/14      2021/06/14      [5.415]
Circinus      93       178      [<1]       2.64      0.0535    [192.1]    42.2       16.6       [87.2±0.48]     2016/01/14      2021/08/20      [5.599]
Circinus      93       182      [<1]       2.64      0.597     [126.2]    42.2       22.6       [60.5±2.2]      2016/01/14      2018/12/01      [2.880]
Circinus      93       186      [<1]       2.64      0.210     [170.5]    42.2       19.0       [76.0±0.67]     2016/01/14      2023/12/05      [7.890]
Circinus      93       223      [<1]       2.64      5.83      [<1]       42.2       50.5       [<1]            2016/01/14      2019/05/05      [3.305]
Circinus      93       225      [<1]       2.64      5.92      [<1]       42.2       52.7       [<1]            2016/01/14      2019/01/18      [3.012]
Circinus      93       225      [<1]       2.64      5.98      [<1]       42.2       54.9       [<1]            2016/01/14      2019/01/18      [3.012]
Circinus      93       259      [<1]       2.64      0.133     [180.9]    42.2       13.9       [100.9±0.92]    2016/01/14      2019/08/15      [3.584]
Circinus      93       259      [<1]       2.64      0.0206    [196.9]    42.2       14.3       [99.0±0.44]     2016/01/14      2019/06/06      [3.392]
Circinus      93       265      [<1]       2.64      1.25      [71.7]     42.2       39.5       [6.6±1.6]       2016/01/14      2015/12/31      [0.038]
Circinus      93       316      [<1]       2.64      0.235     [167.3]    42.2       22.3       [61.7±1.5]      2016/01/14      2019/10/06      [3.726]
Circinus      93       318      [<1]       2.64      0.261     [164.0]    42.2       31.4       [29.6±0.98]     2016/01/14      2021/04/30      [5.292]
Circinus      93       321      [<1]       2.64      0.257     [164.5]    42.2       28.6       [38.6±4.0]      2016/01/14      2017/05/06      [1.309]
Circinus      93       350      [<1]       2.64      0.0328    [195.1]    42.2       12.3       [109.9±0.54]    2016/01/14      2019/07/14      [3.496]
Circinus      93       350      [<1]       2.64      0.979     [91.8]     42.2       52.9       [<1]            2016/01/14      2015/12/31      [0.038]
Circinus      93       350      [<1]       2.64      3.81      [<1]       42.2       111.2      [<1]            2016/01/14      2016/03/22      [0.186]
Circinus      93       350      [<1]       2.64      0.159     [177.2]    42.2       27.0       [44.0±1.5]      2016/01/14      2015/07/16      [0.498]
Circinus      93       350      [<1]       2.64      0.115     [183.3]    42.2       24.2       [54.1±0.93]     2016/01/14      2021/05/17      [5.339]
Circinus      93       350      [<1]       2.64      0.479     [138.6]    42.2       35.3       [17.8±2.0]      2016/01/14      2019/10/29      [3.789]
Circinus      93       350      [<1]       2.64      0.261     [164.0]    42.2       25.9       [47.9±0.96]     2016/01/14      2016/11/24      [0.862]
Circinus      93       484      [<1]       2.64      0.177     [174.9]    42.2       33.3       [23.8±2.1]      2016/01/14      2022/08/19      [6.595]
Circinus      93       484      [<1]       2.64      2.77      [<1]       42.2       211.6      [<1]            2016/01/14      2018/10/27      [2.784]
Circinus      93       485      [<1]       2.64      0.677     [118.3]    42.2       104.8      [<1]            2016/01/14      2017/03/18      [1.175]
Circinus      93       485      [<1]       2.64      0.0969    [185.8]    42.2       23.6       [56.5±1.1]      2016/01/14      2021/06/28      [5.454]
Circinus      93       665      [<1]       2.64      0.0645    [190.5]    42.2       23.9       [55.3±2.7]      2016/01/14      2021/07/01      [5.462]
Circinus      108      108      [<1]       2.40      1.54      [43.6]     40.5       39.8       [1.8±0.96]      2014/12/27      2016/03/18      [1.224]
Circinus      108      178      [<1]       2.40      0.245     [162.9]    40.5       27.2       [39.5±0.78]     2014/12/27      2021/06/14      [6.464]
Circinus      108      178      [<1]       2.40      0.0535    [191.3]    40.5       16.6       [83.9±0.62]     2014/12/27      2021/08/20      [6.648]
Circinus      108      182      [<1]       2.40      0.597     [120.3]    40.5       22.6       [56.7±2.2]      2014/12/27      2018/12/01      [3.929]
Circinus      108      186      [<1]       2.40      0.210     [167.8]    40.5       19.0       [72.4±0.79]     2014/12/27      2023/12/05      [8.939]
Circinus      108      223      [<1]       2.40      5.83      [<1]       40.5       50.5       [<1]            2014/12/27      2019/05/05      [4.353]
Circinus      108      225      [<1]       2.40      5.92      [<1]       40.5       52.7       [<1]            2014/12/27      2019/01/18      [4.060]
Circinus      108      225      [<1]       2.40      5.98      [<1]       40.5       54.9       [<1]            2014/12/27      2019/01/18      [4.060]
Circinus      108      259      [<1]       2.40      0.133     [179.0]    40.5       13.9       [97.8±1.0]      2014/12/27      2019/08/15      [4.632]
Circinus      108      259      [<1]       2.40      0.0206    [196.6]    40.5       14.3       [95.9±0.58]     2014/12/27      2019/06/06      [4.441]
Circinus      108      265      [<1]       2.40      1.25      [63.1]     40.5       39.5       [2.5±1.6]       2014/12/27      2015/12/31      [1.010]
Circinus      108      316      [<1]       2.40      0.235     [164.3]    40.5       22.3       [58.0±1.6]      2014/12/27      2019/10/06      [4.775]
Circinus      108      318      [<1]       2.40      0.261     [160.7]    40.5       31.4       [25.5±1.1]      2014/12/27      2021/04/30      [6.341]
Circinus      108      321      [<1]       2.40      0.257     [161.3]    40.5       28.6       [34.6±4.1]      2014/12/27      2017/05/06      [2.357]
Circinus      108      350      [<1]       2.40      0.0328    [194.6]    40.5       12.3       [107.0±0.64]    2014/12/27      2019/07/14      [4.545]
Circinus      108      350      [<1]       2.40      0.979     [84.0]     40.5       52.9       [<1]            2014/12/27      2015/12/31      [1.010]
Circinus      108      350      [<1]       2.40      3.81      [<1]       40.5       111.2      [<1]            2014/12/27      2016/03/22      [1.235]
Circinus      108      350      [<1]       2.40      0.159     [175.1]    40.5       27.0       [40.1±1.6]      2014/12/27      2015/07/16      [0.550]
Circinus      108      350      [<1]       2.40      0.115     [181.7]    40.5       24.2       [50.3±1.0]      2014/12/27      2021/05/17      [6.387]
Circinus      108      350      [<1]       2.40      0.479     [133.4]    40.5       35.3       [13.7±2.1]      2014/12/27      2019/10/29      [4.838]
Circinus      108      350      [<1]       2.40      0.261     [160.7]    40.5       25.9       [44.0±1.1]      2014/12/27      2016/11/24      [1.911]
Circinus      108      484      [<1]       2.40      0.177     [172.6]    40.5       33.3       [19.8±2.1]      2014/12/27      2022/08/19      [7.644]
Circinus      108      484      [<1]       2.40      2.77      [<1]       40.5       211.6      [<1]            2014/12/27      2018/10/27      [3.833]
Circinus      108      485      [<1]       2.40      0.677     [111.9]    40.5       104.8      [<1]            2014/12/27      2017/03/18      [2.223]
Circinus      108      485      [<1]       2.40      0.0969    [184.5]    40.5       23.6       [52.7±1.2]      2014/12/27      2021/06/28      [6.502]
Circinus      108      665      [<1]       2.40      0.0645    [189.5]    40.5       23.9       [51.5±2.7]      2014/12/27      2021/07/01      [6.511]
Circinus      108      178      [<1]       1.54      0.245     [145.0]    39.8       27.2       [37.7±0.70]     2016/03/18      2021/06/14      [5.240]
Circinus      108      178      [<1]       1.54      0.0535    [186.6]    39.8       16.6       [82.3±0.55]     2016/03/18      2021/08/20      [5.424]
Circinus      108      182      [<1]       1.54      0.597     [88.2]     39.8       22.6       [55.0±2.2]      2016/03/18      2018/12/01      [2.705]
Circinus      108      186      [<1]       1.54      0.210     [151.9]    39.8       19.0       [70.8±0.73]     2016/03/18      2023/12/05      [7.715]
Circinus      108      223      [<1]       1.54      5.83      [<1]       39.8       50.5       [<1]            2016/03/18      2019/05/05      [3.129]
Circinus      108      225      [<1]       1.54      5.92      [<1]       39.8       52.7       [<1]            2016/03/18      2019/01/18      [2.836]
Circinus      108      225      [<1]       1.54      5.98      [<1]       39.8       54.9       [<1]            2016/03/18      2019/01/18      [2.836]
Circinus      108      259      [<1]       1.54      0.133     [168.3]    39.8       13.9       [96.4±0.97]     2016/03/18      2019/08/15      [3.409]
Circinus      108      259      [<1]       1.54      0.0206    [194.7]    39.8       14.3       [94.5±0.51]     2016/03/18      2019/06/06      [3.217]
Circinus      108      265      [<1]       1.54      1.25      [20.9]     39.8       39.5       [<1]            2016/03/18      2015/12/31      [0.214]
Circinus      108      316      [<1]       1.54      0.235     [147.0]    39.8       22.3       [56.3±1.5]      2016/03/18      2019/10/06      [3.551]
Circinus      108      318      [<1]       1.54      0.261     [142.0]    39.8       31.4       [23.7±1.0]      2016/03/18      2021/04/30      [5.117]
Circinus      108      321      [<1]       1.54      0.257     [142.8]    39.8       28.6       [32.8±4.1]      2016/03/18      2017/05/06      [1.133]
Circinus      108      350      [<1]       1.54      0.0328    [191.7]    39.8       12.3       [105.6±0.59]    2016/03/18      2019/07/14      [3.321]
Circinus      108      350      [<1]       1.54      0.979     [44.5]     39.8       52.9       [<1]            2016/03/18      2015/12/31      [0.214]
Circinus      108      350      [<1]       1.54      3.81      [<1]       39.8       111.2      [<1]            2016/03/18      2016/03/22      [0.011]
Circinus      108      350      [<1]       1.54      0.159     [162.5]    39.8       27.0       [38.3±1.6]      2016/03/18      2015/07/16      [0.674]
Circinus      108      350      [<1]       1.54      0.115     [172.2]    39.8       24.2       [48.6±0.98]     2016/03/18      2021/05/17      [5.164]
Circinus      108      350      [<1]       1.54      0.479     [105.1]    39.8       35.3       [11.9±2.1]      2016/03/18      2019/10/29      [3.614]
Circinus      108      350      [<1]       1.54      0.261     [141.9]    39.8       25.9       [42.2±1.0]      2016/03/18      2016/11/24      [0.687]
Circinus      108      484      [<1]       1.54      0.177     [158.8]    39.8       33.3       [18.0±2.1]      2016/03/18      2022/08/19      [6.420]
Circinus      108      484      [<1]       1.54      2.77      [<1]       39.8       211.6      [<1]            2016/03/18      2018/10/27      [2.609]
Circinus      108      485      [<1]       1.54      0.677     [77.8]     39.8       104.8      [<1]            2016/03/18      2017/03/18      [0.999]
Circinus      108      485      [<1]       1.54      0.0969    [176.3]    39.8       23.6       [51.0±1.2]      2016/03/18      2021/06/28      [5.279]
Circinus      108      665      [<1]       1.54      0.0645    [183.9]    39.8       23.9       [49.7±2.7]      2016/03/18      2021/07/01      [5.287]
Circinus      178      178      [<1]       0.245     0.0535    [128.4]    27.2       16.6       [48.4±0.38]     2021/06/14      2021/08/20      [0.183]
