CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
Circinus       ALMA           85.87              22.78           2016/07/02_1   1.38210            51.453         member.uid___A001_X5a3_X177.ari_l.Circinus_sci.spw0_1_2_3_85871MHz.12m.cont.I.pbcor.fits
Circinus       ALMA           93.48              42.25           2016/01/14_1   2.64003            177.635        member.uid___A001_X2f7_X201.circinus.cont.image.pbcor.fits
Circinus       ALMA           107.75             40.55           2014/12/27_1   2.39820            137.094        member.uid___A001_X121_X4f4.Circinius.12m.continuum.image.pbcor.fits
Circinus       ALMA           107.76             39.81           2016/03/18_1   1.53909            159.287        member.uid___A001_X2fb_X88f.Circinus.continuum.image.pbcor.fits
Circinus       ALMA           178.00             27.18           2021/06/14_1   0.24516            278.205        member.uid___A001_X1465_X3d71.circinus_galaxy_sci.spw25_27_29_31.cont.I.pbcor.fits
Circinus       ALMA           178.01             16.59           2021/08/20_1   0.05346            516.531        member.uid___A001_X1465_X3d6f.circinus_galaxy_sci.spw25_27_29_31.cont.I.pbcor.fits
Circinus       ALMA           182.14             22.63           2018/12/01_1   0.59716            42.840         member.uid___A001_X133d_X43a.Circinus_galaxy_sci.spw23_25_27_29.cont.I.pbcor.fits
Circinus       ALMA           185.91             18.99           2023/12/05_1   0.21017            184.103        member.uid___A001_X3621_X424b.Circinus_galaxy_sci.spw25_27_29_31.cont.I.pbcor.fits
Circinus       ALMA           223.00             50.54           2019/05/05_1   5.82942            36.061         member.uid___A001_X133d_X114.SN1996cr_sci.spw4_6_16_18.cont.I.pbcor.fits
Circinus       ALMA           225.27             54.91           2019/01/18_1   5.97513            13.306         member.uid___A001_X133d_X3c37.Circinus_sci.spw16_18_20_22_24.cont.I.pbcor.fits
Circinus       ALMA           225.27             52.69           2019/01/18_2   5.91949            13.457         member.uid___A001_X133d_X3c31.Circinus_sci.spw16_18_20_22_24.cont.I.pbcor.fits
